pool_size,n_directions,own_loss,unseen_loss,memorization_ratio
64,64,0.00509887543739751,0.1682504778727889,32.99756582378187
256,256,0.01995072024874389,0.1575009487569332,7.894499386148706
1024,1024,0.12054007779806852,0.11865139799192548,0.9843315199339177
full,130967,0.198804865591228,0.12065141694620252,0.6068836222262263
