target,D4_mean,B1_mean,mean_diff,ci_lo,ci_hi,p,wins,n_paired,baseline,B2_mean,D1_mean
10,42.0,35.75,6.25,-5.0,17.875,0.3154,17,40,B1,,
30,28.8125,34.875,-6.0625,-16.0625,3.625,0.2478,9,40,B1,,
50,33.4375,28.75,4.6875,-6.189062499999993,15.375,0.4186,12,40,B1,,
10,42.0,,15.25,3.875,26.25,0.0128,19,40,B2,26.75,
30,28.8125,,0.25,-10.564062499999993,11.0,0.974,11,40,B2,28.5625,
50,33.4375,,2.9375,-9.25,15.0625,0.6442,10,40,B2,30.5,
10,42.0,,3.625,-8.375,16.5,0.5874,15,40,D1,,38.375
30,28.8125,,7.25,-4.1875,18.375,0.2278,12,40,D1,,21.5625
50,33.4375,,7.051282051282051,-5.833333333333333,20.32051282051282,0.3034,11,39,D1,,25.96153846153846
