feature_id,r,pca_dist_clean,pca_dist_steered,pca_dist_denoised,along_v_mean,fraction_along_v_mean
1975,0.2,28.073368072509766,29.687179565429688,28.41575813293457,0.6870557069778442,0.009520493447780609
1975,0.4,28.073368072509766,34.04275894165039,24.99658203125,10.392228126525879,0.27869725227355957
1975,0.6,28.073368072509766,40.21372604370117,22.982585906982422,25.31188201904297,0.48850709199905396
1975,0.8,28.073368072509766,47.48993682861328,21.0336856842041,44.285789489746094,0.6222102046012878
1975,1.0,28.073368072509766,55.44081115722656,21.302663803100586,61.47650909423828,0.7115275859832764
3703,0.2,28.073368072509766,30.001558303833008,28.676025390625,1.6739270687103271,0.05260305479168892
3703,0.4,28.073368072509766,35.11249542236328,25.796161651611328,10.990608215332031,0.30293914675712585
3703,0.6,28.073368072509766,42.21757888793945,24.227691650390625,25.197521209716797,0.4877222180366516
3703,0.8,28.073368072509766,50.47818374633789,22.361722946166992,43.63636016845703,0.6161144971847534
3703,1.0,28.073368072509766,59.419193267822266,22.85373878479004,59.890987396240234,0.7009519338607788
6882,0.2,28.073368072509766,29.957727432250977,28.303075790405273,1.3503457307815552,0.03465970605611801
6882,0.4,28.073368072509766,34.9431266784668,24.929468154907227,10.461099624633789,0.28031402826309204
6882,0.6,28.073368072509766,41.887882232666016,23.13250732421875,24.245559692382812,0.46527111530303955
6882,0.8,28.073368072509766,49.976600646972656,22.089736938476562,41.327850341796875,0.5844656825065613
6882,1.0,28.073368072509766,58.742828369140625,22.86050033569336,57.7110710144043,0.6781094074249268
7111,0.2,28.073368072509766,30.189363479614258,28.67328453063965,1.2667206525802612,0.030476219952106476
7111,0.4,28.073368072509766,35.71704864501953,25.640714645385742,10.884944915771484,0.2968829870223999
7111,0.6,28.073368072509766,43.31978988647461,23.97389030456543,25.337923049926758,0.4893173277378082
7111,0.8,28.073368072509766,52.09410858154297,21.906923294067383,43.78022766113281,0.6190556883811951
7111,1.0,28.073368072509766,61.5459098815918,22.223926544189453,60.70456314086914,0.7077212929725647
9631,0.2,28.073368072509766,29.73768424987793,28.526155471801758,0.7453066110610962,0.010926428250968456
9631,0.4,28.073368072509766,34.236839294433594,25.245859146118164,10.27559757232666,0.2747408151626587
9631,0.6,28.073368072509766,40.592445373535156,23.452131271362305,24.73760223388672,0.4771183431148529
9631,0.8,28.073368072509766,48.06608200073242,21.431997299194336,43.45974349975586,0.6125765442848206
9631,1.0,28.073368072509766,56.21657943725586,21.7209529876709,60.27225875854492,0.7019389867782593
11244,0.2,28.073368072509766,30.428390502929688,29.240798950195312,1.2862366437911987,0.031235184520483017
11244,0.4,28.073368072509766,36.52867126464844,27.08142852783203,10.89449691772461,0.29645776748657227
11244,0.6,28.073368072509766,44.819271087646484,26.174468994140625,25.35051918029785,0.4870966076850891
11244,0.8,28.073368072509766,54.305259704589844,24.637535095214844,44.17780685424805,0.6192250847816467
11244,1.0,28.073368072509766,64.46656036376953,25.47859001159668,61.38106155395508,0.7075638175010681
11594,0.2,28.073368072509766,30.346416473388672,28.661989212036133,1.5909912586212158,0.04771130532026291
11594,0.4,28.073368072509766,36.2215461730957,25.661211013793945,11.567177772521973,0.32569485902786255
11594,0.6,28.073368072509766,44.23432922363281,23.911550521850586,26.26103973388672,0.5121120810508728
11594,0.8,28.073368072509766,53.43024826049805,22.33737564086914,44.683780670166016,0.6333344578742981
11594,1.0,28.073368072509766,63.301429748535156,22.724332809448242,61.75055694580078,0.7201374769210815
11801,0.2,28.073368072509766,29.60293960571289,28.28173065185547,1.284754991531372,0.03144633397459984
11801,0.4,28.073368072509766,33.72677230834961,24.726551055908203,10.719724655151367,0.2915351092815399
11801,0.6,28.073368072509766,39.59857940673828,22.687864303588867,25.00883674621582,0.48341095447540283
11801,0.8,28.073368072509766,46.55318069458008,20.722814559936523,43.079071044921875,0.6117849349975586
11801,1.0,28.073368072509766,54.177791595458984,21.00400161743164,59.86826705932617,0.7017586827278137
12507,0.2,28.073368072509766,31.00872039794922,29.552682876586914,1.2844796180725098,0.031145228073000908
12507,0.4,28.073368072509766,38.41021728515625,27.934200286865234,10.847586631774902,0.2932182252407074
12507,0.6,28.073368072509766,48.21156692504883,27.214035034179688,25.25041389465332,0.48245757818222046
